"ts_code","date","open","high","close","low","volume","price_change","p_change","ma5","ma10","ma20","v_ma5","v_ma10","v_ma20","turnover"
"000001.SZ","2019-07-31",1,1,1,1,634723.5,-0.24,-1.67,14.13,14.13,14.13,634723.5,634723.5,634723.5,0.37
"000001.SZ","2019-08-01",1,1,1,1,969926.5,-0.36,-2.55,13.99,13.99,13.99,710877.08,710877.08,710877.08,0.56
"000001.SZ","2019-08-02",1,1,1,1,527981.25,-0.03,-0.21,14.115,14.115,14.115,581352.38,581352.38,581352.38,0.31
"000001.SZ","2019-08-05",13.6,13.64,13.35,13.27,893082.38,-0.39,-2.84,13.83,13.83,13.83,756428.41,756428.41,756428.41,0.52
"000001.SZ","2019-08-06",13.1,13.46,13.37,13.03,882499.12,0.02,0.15,13.738,13.738,13.738,781642.55,781642.55,781642.55,0.51
"000001.SZ","2019-08-07",13.49,13.64,13.54,13.37,793038.94,0.17,1.27,13.62,13.705,13.705,813305.64,783541.95,783541.95,0.46
"000001.SZ","2019-08-08",13.9,14.5,14.38,13.85,2330715,0.84,6.2,13.676,13.801,13.801,1173852.39,1004566.67,1004566.67,1.36
"000001.SZ","2019-08-09",14.55,14.85,14.52,14.43,2060575.25,0.14,0.97,13.832,13.891,13.891,1391982.14,1136567.74,1136567.74,1.2
"000001.SZ","2019-08-12",14.61,15.12,15.12,14.6,2733425.5,0.6,4.13,14.186,14.028,14.028,1760050.76,1313996.38,1313996.38,1.59
"000001.SZ","2019-08-13",15,15.08,14.89,14.74,1293736.5,-0.23,-1.52,14.49,14.114,14.114,1842298.24,1311970.39,1311970.39,0.75
"000001.SZ","2019-08-14",15.14,15.22,14.97,14.8,1360546.5,0.08,0.54,14.776,14.198,14.192,1955799.75,1384552.69,1316386.4,0.79
"000001.SZ","2019-08-15",14.64,14.96,14.94,14.6,897376.25,-0.03,-0.2,14.888,14.282,14.254,1669132,1421492.19,1281468.89,0.52
"000001.SZ","2019-08-16",15.09,15.14,14.9,14.78,986902.94,-0.04,-0.27,14.964,14.398,14.304,1454397.54,1423189.84,1258809.97,0.57
"000001.SZ","2019-08-19",14.91,14.94,14.92,14.52,2292956.25,0.02,0.13,14.924,14.555,14.348,1366303.69,1563177.23,1332677.56,1.34
"000001.SZ","2019-08-20",14.92,15.2,14.99,14.77,1921041.5,0.07,0.47,14.944,14.717,14.391,1491764.69,1667031.46,1371901.83,1.12
"000001.SZ","2019-08-21",14.87,14.89,14.45,14.38,1990132,-0.54,-3.6,14.84,14.808,14.394,1617681.79,1786740.77,1410541.21,1.16
"000001.SZ","2019-08-22",14.4,14.45,14.31,14.2,1353071.5,-0.14,-0.97,14.714,14.801,14.389,1708820.84,1688976.42,1407160.64,0.79
"000001.SZ","2019-08-23",14.37,14.74,14.65,14.35,1636867.62,0.34,2.38,14.664,14.814,14.404,1838813.77,1646605.66,1419922.14,0.95
"000001.SZ","2019-08-26",14.42,14.5,14.25,14.15,1415122.5,-0.4,-2.73,14.53,14.727,14.396,1663247.02,1514775.36,1419669.53,0.82
"000001.SZ","2019-08-27",14.36,14.48,14.31,14.24,1356713.5,0.06,0.42,14.394,14.669,14.392,1550381.42,1521073.06,1416521.73,0.79
"000001.SZ","2019-08-28",14.26,14.28,14.27,14.05,829657.69,-0.04,-0.28,14.358,14.599,14.399,1318286.56,1467984.18,1426268.43,0.48
"000001.SZ","2019-08-29",10,10,10,10,609034.31,-0.14,-0.98,14.322,14.518,14.4,1169479.12,1439149.98,1430321.09,0.35
"000001.SZ","2019-08-30",100,100,100,100,798500.56,0.03,0.21,14.224,14.444,14.421,1001805.71,1420309.74,1421749.79,0.47
"000001.SZ","2019-09-02",100,100,100,100,798500.56,0.03,0.21,14.224,14.444,14.421,1001805.71,1420309.74,1421749.79,0.47
"000001.SZ","2019-09-03",14.48,14.51,14.3,14.25,858653.69,-0.15,-1.04,14.262,14.328,14.523,891209.5,1220795.46,1443913.46,0.5
"000001.SZ","2019-09-04",14.32,14.5,14.44,14.31,973964.88,0.14,0.98,14.296,14.327,14.568,920070.94,1119178.75,1452959.76,0.57
"000001.SZ","2019-09-05",14.56,14.85,14.58,14.55,1768051.38,0.14,0.97,14.386,14.354,14.578,1151874.35,1160676.74,1424826.58,1.03
"000001.SZ","2019-09-06",14.71,14.81,14.81,14.62,986432.81,0.23,1.58,14.516,14.37,14.592,1189460.8,1095633.26,1371119.46,0.57
"000001.SZ","2019-09-09",14.98,15,14.69,14.6,1299839.12,-0.12,-0.81,14.564,14.414,14.571,1177388.38,1084104.92,1299440.14,0.76
"000001.SZ","2019-09-10",14.6,14.64,14.55,14.41,796870.62,-0.14,-0.95,14.614,14.438,14.554,1165031.76,1028120.63,1274596.84,0.46
"000001.SZ","2019-09-11",14.6,14.71,14.56,14.46,818614.25,0.01,0.07,14.638,14.467,14.533,1133961.64,1027016.29,1247500.23,0.48
"000001.SZ","2019-09-12",14.66,14.78,14.68,14.53,1150687.62,0.12,0.82,14.658,14.522,14.52,1010488.88,1081181.62,1260165.8,0.61
"000001.SZ","2019-09-16",14.7,14.72,14.45,14.4,929894.19,-0.23,-1.57,14.586,14.551,14.498,999181.16,1094320.98,1257315.36,0.49
"000001.SZ","2019-09-17",14.36,14.45,14.24,14.18,882655.75,-0.21,-1.45,14.496,14.53,14.464,915744.49,1046566.43,1186800.34,0.47
"000001.SZ","2019-09-18",14.24,14.48,14.41,14.24,820436.31,0.17,1.19,14.468,14.541,14.435,920457.62,1042744.69,1131770.08,0.42
"000001.SZ","2019-09-19",14.48,14.89,14.84,14.48,1884020.75,0.43,2.98,14.524,14.581,14.454,1133538.92,1133750.28,1126464.52,0.97
"000001.SZ","2019-09-20",14.95,15.4,15.34,14.93,2644285,0.5,3.37,14.656,14.657,14.506,1432258.4,1221373.64,1191025.19,1.36
"000001.SZ","2019-09-23",15.34,15.47,15.38,15.18,1403281.88,0.04,0.26,14.842,14.714,14.542,1526935.94,1263058.55,1179345.9,0.72
"000001.SZ","2019-09-24",15.47,15.54,15.18,15.18,1129103.25,-0.2,-1.3,15.03,14.763,14.589,1576225.44,1245984.96,1165044.94,0.58
"000001.SZ","2019-09-25",15.2,15.85,15.75,15.19,1938892.75,0.57,3.75,15.298,14.883,14.661,1799916.73,1360187.18,1194153.9,1
"000001.SZ","2019-09-26",15.86,16.04,15.71,15.66,1686592.62,-0.04,-0.25,15.472,14.998,14.733,1760431.1,1446985.01,1237000.65,0.87
"000001.SZ","2019-09-27",15.85,16,15.9,15.7,1007706.25,0.19,1.21,15.584,15.12,14.821,1433115.35,1432686.88,1256934.25,0.52
"000001.SZ","2019-09-30",15.75,15.89,15.59,15.57,1046363.19,-0.31,-1.95,15.626,15.234,14.893,1361731.61,1444333.78,1269327.38,0.54
"000001.SZ","2019-10-08",15.6,16.23,16.2,15.6,1386676.38,0.61,3.91,15.83,15.43,14.98,1413246.24,1494735.84,1270651.13,0.71
"000001.SZ","2019-10-09",16.1,16.52,16.25,16.02,1316693.5,0.05,0.31,15.93,15.614,15.078,1288806.39,1544361.56,1293553.13,0.68
